file,rows,det,empty,conf_mean,conf_p50,conf_p90,conf_max,path,detections,empty_rows,mean_conf,median_conf,q90_conf,max_conf
submissions/sub86_zaoui_sub83_next1_img73_conf053375.csv,2000,1264,1061,0.3985506930379747,0.36424900000000004,0.5927729000000003,1.0,,,,,,,
submissions/sub87_zaoui_sub83_next1_img804_conf053375.csv,2000,1264,1061,0.39855065901898734,0.36424900000000004,0.5927729000000003,1.0,,,,,,,
submissions/sub88_zaoui_sub83_pair_img73_804_conf053375.csv,2000,1264,1061,0.39878780458860763,0.36438550000000003,0.5927729000000003,1.0,,,,,,,
submissions/sub89_zaoui_sub83_next1_img1066_conf053375.csv,2000,1264,1061,0.39855063528481016,0.36424900000000004,0.5927729000000003,1.0,,,,,,,
submissions/sub90_nomannic_cv_debris_direct_2453014.csv,2000,1028,1191,0.3660861527237354,0.329609,0.5589785,0.85036,,,,,,,
submissions/sub91_nomannic_cv_debris_direct_conf023.csv,2000,957,1240,0.37655643364681296,0.341974,0.5708496,0.85036,,,,,,,
submissions/sub92_nomannic_cv_debris_direct_conf0235.csv,2000,924,1264,0.381696762987013,0.34674649999999996,0.5735543000000001,0.85036,,,,,,,
submissions/sub93_nomannic_cv_debris_direct_conf0240.csv,2000,891,1282,0.38703919865319864,0.351502,0.579031,0.85036,,,,,,,
,2000,,,,,,,submissions/sub94_nomannic_cv_debris_direct_conf0225.csv,991,1216,0.37144858425832494,0.336351,0.5638758,0.85036
submissions/sub95_nomannic_cv_debris_direct_conf0226.csv,2000,985,1218,0.37233807411167513,0.338191,0.5665444,0.85036,,,,,,,
submissions/sub96_nomannic_cv_debris_direct_conf0224.csv,2000,997,1212,0.37056507622868606,0.335101,0.5623272,0.85036,,,,,,,
submissions/sub97_nomannic_cv_debris_direct_conf02265.csv,2000,981,1222,0.37293389704383284,0.338468,0.5686968,0.85036,,,,,,,
submissions/sub98_nomannic_cv_debris_direct_conf02255.csv,2000,987,1217,0.37204084093211753,0.338151,0.5654682,0.85036,,,,,,,
